date,category,title,amount,notes
2024-06-01 00:00:00,food,gongcha,7.0,taro bubble tea fye
2024-06-01 00:00:00,fun,Travel goods,5.05,Travel bottles n toofpaste 
2024-06-01 00:00:00,fun,Cloud 9,21.53,Zaza 
2024-06-01 00:00:00,living,Retinol,16.2, 
2024-06-01 00:00:00,food,TJS,66.23, 
